,TimeT,Date,Time,Battery Current,Battery Power In,Battery Power Out,Battery Voltage,Humidity (Sensor),Irradiance,Panel Current,Temperature,USB Hub Current,Powerbanks Distributed,Income,lightbulbs,energy Cost Production,Revenue
0,2018-12-26 15:00:00+00:00,2018-12-26,15:00:00,0.039,0.485,71.845,12.123,89.694,84.5,0.055,15.841,5.924,18,1.08,216,0.21600000000000003,0.8640000000000001
1,2018-12-26 16:00:00+00:00,2018-12-26,16:00:00,0.001,0.008,71.545,12.076,89.212,87.119,0.057,15.658,5.919,15,0.8999999999999999,180,0.18,0.72
2,2018-12-26 17:00:00+00:00,2018-12-26,17:00:00,0.001,0.008,71.225,12.033,88.553,88.167,0.058,15.242,5.914,14,0.84,168,0.168,0.672
3,2018-12-26 18:00:00+00:00,2018-12-26,18:00:00,0.001,0.008,70.807,11.988,89.747,89.167,0.058,15.022,5.903,17,1.02,204,0.20400000000000001,0.8160000000000001
4,2018-12-26 19:00:00+00:00,2018-12-26,19:00:00,0.001,0.008,70.124,11.937,89.897,89.829,0.055,14.665,5.874,14,0.84,168,0.168,0.672
5,2018-12-26 20:00:00+00:00,2018-12-26,20:00:00,0.001,0.008,69.567,11.878,90.107,90,0.051,14.294,5.856,15,0.8999999999999999,180,0.18,0.72
6,2018-12-26 21:00:00+00:00,2018-12-26,21:00:00,0.001,0.008,69.161,11.818,87.957,90,0.051,13.942,5.851,15,0.8999999999999999,180,0.18,0.72
7,2018-12-26 22:00:00+00:00,2018-12-26,22:00:00,0.001,0.008,68.602,11.752,88.499,90,0.056,13.622,5.839,15,0.8999999999999999,180,0.18,0.72
8,2018-12-26 23:00:00+00:00,2018-12-26,23:00:00,0.001,0.008,67.728,11.67,90.331,90,0.054,13.161,5.806,16,0.96,192,0.192,0.768
9,2018-12-27 00:00:00+00:00,2018-12-27,00:00:00,0.054,0.627,66.905,11.578,94.795,93.333,0.033,12.272,5.782,15,0.8999999999999999,180,0.18,0.72
10,2018-12-27 01:00:00+00:00,2018-12-27,01:00:00,1.225,14.165,66.96,11.555,92.836,224.333,0.173,13.172,5.798,15,0.8999999999999999,180,0.18,0.72
11,2018-12-27 02:00:00+00:00,2018-12-27,02:00:00,5.73,68.965,71.562,11.965,76.127,546.5,1.366,16.022,5.978,14,0.84,168,0.168,0.672
12,2018-12-27 03:00:00+00:00,2018-12-27,03:00:00,10.32,131.492,79.565,12.729,64.952,977.833,2.434,18.071,6.248,14,0.84,168,0.168,0.672
13,2018-12-27 04:00:00+00:00,2018-12-27,04:00:00,13.902,181.114,83.119,13.022,57.227,"1,262.25",3.308,19.605,6.382,17,1.02,204,0.20400000000000001,0.8160000000000001
14,2018-12-27 05:00:00+00:00,2018-12-27,05:00:00,15.294,201.097,84.673,13.148,53.155,"1,371.08",3.683,20.92,6.438,16,0.96,192,0.192,0.768
15,2018-12-27 06:00:00+00:00,2018-12-27,06:00:00,5.063,73.492,58.501,13.876,59.964,"1,134.55",1.656,27.246,4.132,14,0.84,168,0.168,0.672
16,2018-12-27 07:00:00+00:00,2018-12-27,07:00:00,5.442,73.792,79.296,12.965,61.892,987.797,1.322,27.602,6.094,17,1.02,204,0.20400000000000001,0.8160000000000001
17,2018-12-27 08:00:00+00:00,2018-12-27,08:00:00,7.713,106.73,90.221,13.792,62.448,746.5,1.82,27.029,6.536,14,0.84,168,0.168,0.672
18,2018-12-27 09:00:00+00:00,2018-12-27,09:00:00,4.053,51.045,77.194,12.558,65.012,436.917,0.917,22.952,6.147,18,1.08,216,0.21600000000000003,0.8640000000000001
19,2018-12-27 10:00:00+00:00,2018-12-27,10:00:00,1.031,12.683,73.866,12.293,73.381,161.5,0.143,20.419,6.009,16,0.96,192,0.192,0.768
20,2018-12-27 11:00:00+00:00,2018-12-27,11:00:00,0.039,0.485,73.394,12.25,84.555,75.333,0.046,18.194,5.991,14,0.84,168,0.168,0.672
21,2018-12-27 12:00:00+00:00,2018-12-27,12:00:00,0.039,0.485,73.001,12.223,91.053,70.169,0.062,16.926,5.972,14,0.84,168,0.168,0.672
22,2018-12-27 13:00:00+00:00,2018-12-27,13:00:00,0.039,0.485,72.585,12.195,91.141,71.368,0.056,16.668,5.95,15,0.8999999999999999,180,0.18,0.72
23,2018-12-27 14:00:00+00:00,2018-12-27,14:00:00,0.039,0.485,72.155,12.161,92.138,83.667,0.057,15.922,5.931,16,0.96,192,0.192,0.768
24,2018-12-27 15:00:00+00:00,2018-12-27,15:00:00,0.039,0.485,71.845,12.123,89.694,84.5,0.055,15.841,5.924,14,0.84,168,0.168,0.672
25,2018-12-27 16:00:00+00:00,2018-12-27,16:00:00,0.001,0.008,71.545,12.076,89.212,87.119,0.057,15.658,5.919,15,0.8999999999999999,180,0.18,0.72
26,2018-12-27 17:00:00+00:00,2018-12-27,17:00:00,0.001,0.008,71.225,12.033,88.553,88.167,0.058,15.242,5.914,18,1.08,216,0.21600000000000003,0.8640000000000001
27,2018-12-27 18:00:00+00:00,2018-12-27,18:00:00,0.001,0.008,70.807,11.988,89.747,89.167,0.058,15.022,5.903,16,0.96,192,0.192,0.768
28,2018-12-27 19:00:00+00:00,2018-12-27,19:00:00,0.001,0.008,70.124,11.937,89.897,89.829,0.055,14.665,5.874,16,0.96,192,0.192,0.768
29,2018-12-27 20:00:00+00:00,2018-12-27,20:00:00,0.001,0.008,69.567,11.878,90.107,90,0.051,14.294,5.856,16,0.96,192,0.192,0.768
30,2018-12-27 21:00:00+00:00,2018-12-27,21:00:00,0.001,0.008,69.161,11.818,87.957,90,0.051,13.942,5.851,14,0.84,168,0.168,0.672
31,2018-12-27 22:00:00+00:00,2018-12-27,22:00:00,0.001,0.008,68.602,11.752,88.499,90,0.056,13.622,5.839,18,1.08,216,0.21600000000000003,0.8640000000000001
