Year,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Adjusted net national income (current US$),"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),"Electricity production from renewable sources, excluding hydroelectric (% of total)",Income share held by lowest 10%,Individuals using the Internet (% of population),People using at least basic drinking water services (% of population),"People using at least basic drinking water services, rural (% of rural population)","People using at least basic drinking water services, urban (% of urban population)",People using at least basic sanitation services (% of population),"People using at least basic sanitation services, rural (% of rural population)","People using at least basic sanitation services, urban (% of urban population)",People using safely managed drinking water services (% of population),"People using safely managed drinking water services, rural (% of rural population)","People using safely managed drinking water services, urban (% of urban population)",Population ages 0-14 (% of total),"Population ages 0-14, female (% of total)","Population ages 0-14, male (% of total)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)",Population ages 15-64 (% of total),"Population ages 5-9, female (% of female population)","Population ages 5-9, male (% of male population)",Population ages 65 and above (% of total),"Population, total",Chars population total
1990,7.24,8.544374466,4.57,65.98397827,29611638894,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,48.3667547,0,11.43300569,84.26021728,0,4.306777031,0,4.1,0,94.64647274,93.65724624,97.85066082,25.34631887,20.59160899,40.74722524,55.85230932,59.34553722,44.53744947,42.3332356,42.48300719,42.18995709,12.6992262,12.59568215,54.54409145,14.22109111,14.15024458,3.12267295,106188642,3421352.247
1991,7.24,14.29,4.57,58.06059522,29051954946,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,48.96648345,0,10.13301088,88.10157195,0,1.76541717,0,4.1,0,94.64647274,93.65724624,97.85066082,25.34631887,20.59160899,40.74722524,55.85230932,59.34553722,44.53744947,41.95966203,42.10571651,41.81983616,12.69622372,12.58599936,54.86334488,14.10365449,14.05143154,3.176993089,108727432,3483666.932
1992,7.24,13.44425011,4.57,68.11695862,29808823599,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,58.64850152,0,8.949853834,86.59770632,0,4.452439847,0,4.1,0,94.64647274,93.65724624,97.85066082,25.34631887,20.59160899,40.74722524,55.85230932,59.34553722,44.53744947,41.51317072,41.64202811,41.38976653,12.67462357,12.57494296,55.25863612,13.97603994,13.93290938,3.228193165,111221938,3547816.817
1993,7.24,15.89087391,1.753809096,69.1823349,31302056555,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,65.20947215,0,6.604388442,86.60656094,0,6.789050619,0,4.1,0,94.64647274,93.65724624,97.85066082,25.34631887,20.59160899,40.74722524,55.85230932,59.34553722,44.53744947,41.01019921,41.11374533,40.91100009,12.63921484,12.56341659,55.71282427,13.82839961,13.78495901,3.276976512,113695139,3610445.424
1994,7.24,17.8,10.4,75.2,31992341423,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,68.96921714,0,8.656991006,84.63818479,0,6.704824203,0,4.1,0,94.64647274,93.65724624,97.85066082,25.34631887,20.59160899,40.74722524,55.85230932,59.34553722,44.53744947,40.47622431,40.55476473,40.40095757,12.59374553,12.54513228,56.20020825,13.65116155,13.60408904,3.323567443,116182267,3672526.706
1995,7.24,20.76270866,6.760986904,71.30587006,35916321161,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,75.90125091,0,3.442531927,88.0251712,0,8.532296872,0,3.8,0,94.64647274,93.65724624,97.85066082,25.34631887,20.59160899,40.74722524,55.85230932,59.34553722,44.53744947,39.92599636,39.98435533,39.87005248,12.5345761,12.50710902,56.70507059,13.43770836,13.39198943,3.368933042,118706871,3734920.544
1996,7.24,23.18179893,9.258692186,72.36196899,43771626936,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,79.49227525,0,6.440648423,87.10127244,0,6.458079135,0,3.8,0,94.64647274,93.65724624,97.85066082,25.34631887,20.59160899,40.74722524,55.85230932,59.34553722,44.53744947,39.38374438,39.42586106,39.34336134,12.44565402,12.43119498,57.1508006,13.24526961,13.20185357,3.46545502,121269645,3797476.949
1997,7.24,22.4,15.1,79.5,45624022441,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,81.24846998,0,6.063417102,84.50834879,0,9.428234104,0,3.8,0.000751046,94.64647274,93.65724624,97.85066082,25.34631887,20.59160899,40.74722524,55.85230932,59.34553722,44.53744947,38.82453818,38.85632575,38.79405241,12.3432296,12.33416995,57.61745866,13.03443544,12.99681396,3.558003156,123854640,3859812.487
1998,7.24,27.97103691,14.22777995,74.45767212,47281454980,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,86.16983278,0,6.714795839,84.58313926,0,8.702064897,0,3.8,0.003684813,94.64647274,93.65724624,97.85066082,25.34631887,20.59160899,40.74722524,55.85230932,59.34553722,44.53744947,38.25105529,38.27716326,38.2260096,12.23081251,12.22067865,58.10053013,12.80547609,12.77705377,3.648414587,126447965,3921324.626
1999,7.24,30.33506584,16.69140563,75.49521637,48597162055,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,94.27287554,0,5.764705882,84.96885813,0,9.266435986,0,3.8,0.036170407,94.64647274,93.65724624,97.85066082,25.34631887,20.59160899,40.74722524,55.85230932,59.34553722,44.53744947,37.66236021,37.68377455,37.64181362,12.10719807,12.0944969,58.59885381,12.56626199,12.54800468,3.738785982,129029691,3981479.58
2000,7.24,32,20.5,81.2,50659446893,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,101.4886293,0,4.749223258,88.78320969,0,6.467567053,0,3.7,0.071039423,94.64647274,93.65724624,97.85066082,25.34631887,20.59160899,40.74722524,55.85230932,59.34553722,44.53744947,37.06057025,37.0759829,37.0457735,11.96635723,11.95417133,59.10876522,12.32731696,12.3168597,3.830664527,131581243,4039699.97
2001,7.78,34.998806,21.49087852,77.54967499,51075150932,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,111.69426,0,5.709521619,87.55174793,0,6.738730451,0,3.7,0.129807974,94.8376997,93.87736751,97.86280987,26.81044496,22.11276824,41.60843854,55.88458295,59.48501618,44.5429792,36.56556369,36.56258961,36.56841496,11.80496592,11.80676935,59.51138105,12.14675681,12.14702414,3.923055264,134107160,4089983.495
2002,8.16,37.30912399,23.73337934,78.57157898,52256850571,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,119.2746738,0,4.012858291,89.24725422,0,6.73988749,0,3.7,0.139920289,95.03263929,94.09748878,97.87495893,28.29689941,23.63392749,42.46965185,55.89228399,59.62449514,44.54850893,36.05120025,36.03011414,36.07146462,11.64370963,11.65958257,59.93941889,11.98404281,11.99385092,4.009380862,136600667,4129805.715
2003,8.73,39.61315918,25.97964606,79.59368134,57467216268,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,125.4576704,0,3.799715909,89.45819805,0,6.742086039,0,3.7,0.163877665,95.22529768,94.31761005,97.88710799,29.77700543,25.15508674,43.33086515,55.89623961,59.76397409,44.55403867,35.52380728,35.4864853,35.55971288,11.48858128,11.51411198,60.38389601,11.83188885,11.85142573,4.092296707,139019001,4165326.555
2004,9.2,40.6,30.4,76.6,62445298839,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,160.2533607,0,3.034477171,91.10318843,0,5.8623344,0,3.7,0.199036334,95.41556015,94.53773133,97.89925704,31.25033048,26.67624599,44.19207845,55.89655101,59.90345305,44.5595684,34.98739264,34.93630796,35.03657557,11.34557972,11.37630994,60.83729717,11.67921436,11.70884267,4.175310199,141307489,4195002.839
2005,9.74,44.23,31.19,82.61,66615269181,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,170.6812527,0.616326994,2.832079253,90.78156313,0,5.770030627,0,3.8,0.241637326,95.60328875,94.7578526,97.9114061,32.71629985,28.19740524,45.05329176,55.89347953,60.04293201,44.56509813,34.44048791,34.37741263,34.50126074,11.21638034,11.25087332,61.29903653,11.51217039,11.55171058,4.260475558,143431101,4217993.812
2006,10.36,50.52510246,38.84531839,77.79913503,68875718842,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,190.9154645,0.934611087,2.536317768,90.97558498,0,5.553486167,0,3.8,1,95.78850947,94.97797387,97.92355516,34.17520145,29.71856449,45.91450506,55.88651661,60.18241097,44.57062786,33.99668128,33.88286244,34.10666898,11.07472432,11.13972537,61.63779479,11.37931731,11.45369837,4.365523929,145368004,4233600.87
2007,10.92,46.5,36.6,82.1,77024916615,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,199.8311925,2.389937107,2.415739397,89.8951782,0,5.299145299,0,3.8,1.8,95.97111381,95.19809514,97.93570421,35.62662254,31.23972373,46.77571837,55.87576749,60.32188992,44.5761576,33.53437698,33.36895087,33.69470736,10.96072651,11.06203248,62.00164102,11.25180625,11.35937939,4.463981999,147139191,4242617.479
2008,11.59,51.24977493,37.565392,84.80504608,89898119237,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,201.2488571,3.214682331,2.776316559,89.81237945,0,4.196621661,0,3.8,2.5,96.15100161,95.41821641,97.94785327,37.07017677,32.76088298,47.63693167,55.86134273,60.46136888,44.58168733,33.06048512,32.84702285,33.26797223,10.87264072,11.00697883,62.38656374,11.1171345,11.25705879,4.552951137,148805814,4246966.834
2009,12.2,53.63285446,40.00246009,85.88214111,1.01155E+11,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,219.2420592,2.937299944,1.121661242,91.61578395,0,4.325254862,0,3.8,3.1,96.32808103,95.63833768,97.96000233,38.50550419,34.28204223,48.49814497,55.84335827,60.60084784,44.58721706,32.58571477,32.32868281,32.83626134,10.7985353,10.96113724,62.785568,10.96445233,11.13517895,4.628717235,150454708,4249231.875
2010,12.9,55.26,42.49,90.1,1.13907E+11,0.07955,5.69386,1.6817,26.71473,4.20865,47.24151,4.20865,17.12843,239.8305315,1.89262074,1.787202746,92.6967394,0,3.623437117,0,3.9,3.7,96.50233194,95.85845895,97.97215138,39.93267796,35.80320148,49.35935828,55.82145098,60.7403268,44.5927468,32.11403903,31.81635186,32.40501988,10.72384976,10.91344281,63.19642754,10.78544823,10.98409168,4.689533429,152149102,4251052.972
