"Participant ID","Previous ID","Date Started","Date Finished","Total Time Taken","IP Address",Referer,"Question Order","Section Order","Section Order Names",INTRODUCTION,"Please tick (check) this box to indicate that you consent to take part in this survey. --  --  --  --   --  -- ","Age group (optional) --  -- ","To which gender do you identify? (optional) --  -- ","How did you feel while using the site? --  -- ","What problems do you see while using this site? --  -- ","What do you think about the visualisations? Are they expressive enough? Rate between 1 and 10, being 1 it communicates nothing important and 10 extremely expressive. --  -- ","What improvements could be made? --  -- ","Do you feel that you understand better the insights presented by those visuals? Rate between 1 and 10, being 1 I couldn’t understand the story and 10 I understood everything. --  -- ","What do you like best about the visualisations presented? Is there any possible improvement? --  -- ","What could also be used in order to disseminate the information about these types of social projects? --  -- ","Use social media","Create a newsletter with information and link to the dashboard",Other,"If Other, explain  --  -- ","If selected social media. Which social media sites do you frequently use? --  -- ",Facebook,Twitter,Instagram,YouTube,Tumblr,VK,WhatsApp,WeChat,Baidu,Weibo,Line,Snapchat,Others,"Do you think that presenting the data of the overall performance of the project can increase the engagement and interest with a general audience? --  -- ","Why? --  -- ","Why? --  -- ","Why? --  -- ","What type of information would you find more interesting to be presented? --  -- ","How likely are you to look up further information about the charge project? Rate between 1 and 10, being 1 Very unlikely and 10 very likely. --  -- ","How likely are you to volunteer to be part of The Charge Project? Rate between 1 and 10, being 1 Very unlikely and 10 very likely. --  -- ","(If more than 6 in question previous) How would you support the charge project? --  -- ","Technical support",Donations,"Sharing the site to create more awareness",Other,"If other, how? --  -- ","How likely are you to become an investor/sponsor for the charge project? Rate between 1 and 10, being 1 Very unlikely and 10 very likely. --  -- ","What are the important aspects/ information that you find useful before invest in a social project? --  -- "
3619253,--,"16th Aug 2019 4:36 pm","Did not finish","- - -",152.78.118.247,,"1566555, || ","139141 || ",Introduction,"Section Start",,,,,,,,,,--,No,No,No,,--,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,--,No,No,No,No,,,
3619265,--,"16th Aug 2019 4:47 pm","Did not finish","- - -",152.78.118.247,,"1566555, || ","139141 || ",Introduction,"Section Start",,,,,,,,,,--,No,No,No,,--,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,--,No,No,No,No,,,
3619322,--,"16th Aug 2019 5:42 pm","16th Aug 2019 6:07 pm","24 minutes, 28 seconds",152.78.118.247,,"1566555, || ","139141 || ",Introduction,"Section Start",Yes,20-30,Female,"Easy to use","In the more detailed page, I tried to go back to the map but could not. It was hard to see from first glance that the 'go back' button was at the bottom

I there a direct link to that page from the start page?

When you interact with the map, you just go back to the top of the page (I thought I would be able to zoom in)

The images about the Chars has the same problem, I though I can enlarge the image, but it just took me to the top.

I could not tell the difference between the three visualizations of 'changes through time'. The first and last look the same and I don't know what changes in the second one, the caption is not clear.

In the dashboard, sometimes the texts get hidden by the visuals.

Also, some labels are partially hidden (dashboard, technical). I know the measure names are available, but I realized that late

It is better to separate population numbers by comma to read them easily ex. 1,999,999

Some values do not have currency or units, so I cannot tell if the daily income, for example, is enough

Dashboard, social: the light bulb visualization is not clear, does it represent a household? or all light bulbs in the area? how did you get the final number of bulbs",7,,8,"dashboard, social, bowerbanks distributed: I like these types of visuals, but what does the total value represent? The visual is not read 63 from 100 so the grey bower symbols are confusing",--,Yes,Yes,No,,--,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,"It will increase the audience’s interest","Because it easy to see how the project is actually helping the people. I can see it's progress and it might even want to help, especially when I can see that a small amount of money for example can make a big difference",,,"Amount of money needed to reach some goal or that can help a person regarding clean water or energy",2,1,--,No,No,No,No,,2,"See how the project is actually helping. More pictures/videos and data"
3633702,--,"23rd Aug 2019 11:13 am","Did not finish","- - -",152.78.118.247,,"1566555, || ","139141 || ",Introduction,"Section Start",,,,,,,,,,--,No,No,No,,--,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,--,No,No,No,No,,,
3633703,--,"23rd Aug 2019 11:13 am","Did not finish","- - -",152.78.118.247,,"1566555, || ","139141 || ",Introduction,"Section Start",,,,,,,,,,--,No,No,No,,--,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,--,No,No,No,No,,,
3633740,--,"23rd Aug 2019 11:25 am","Did not finish","- - -",152.78.118.247,,"1566555, || ","139141 || ",Introduction,"Section Start",,,,,,,,,,--,No,No,No,,--,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,--,No,No,No,No,,,
3633741,--,"23rd Aug 2019 11:25 am","Did not finish","- - -",152.78.118.247,,"1566555, || ","139141 || ",Introduction,"Section Start",,,,,,,,,,--,No,No,No,,--,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,--,No,No,No,No,,,
3633765,--,"23rd Aug 2019 11:32 am","Did not finish","- - -",152.78.118.247,,"1566555, || ","139141 || ",Introduction,"Section Start",,,,,,,,,,--,No,No,No,,--,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,--,No,No,No,No,,,
3633875,--,"23rd Aug 2019 12:04 pm","Did not finish","- - -",152.78.118.247,,"1566555, || ","139141 || ",Introduction,"Section Start",,,,,,,,,,--,No,No,No,,--,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,--,No,No,No,No,,,
3633900,--,"23rd Aug 2019 12:10 pm","Did not finish","- - -",152.78.118.247,,"1566555, || ","139141 || ",Introduction,"Section Start",,,,,,,,,,--,No,No,No,,--,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,--,No,No,No,No,,,
